TMDB,ExternalLinkData
312384,Discovery+:https://www.discoveryplus.com/gb/en/shows/mock-the-week/a70d630b-9470-4b7e-a186-f67bd7b6a414
40075,Disney+:https://www.disneyplus.com/en-gb/browse/entity-9995dda1-d70a-4d15-98ba-72f1d10fa406|YouTube:https://www.youtube.com/show/VLPLiv1IUQDVSNL7X_UVCmMH5L0O5G9kvRjv?sbp=KgtvMkUyd0xtX0xsWUAB
85552,HBO MAX:https://www.hbomax.com/gb/en/shows/euphoria/4ffd33c9-e0d6-4cd6-bd13-34c266c79be0
815,Netflix:https://www.netflix.com/gb/title/70217140#episodes|Channel 4:https://www.channel4.com/programmes/peep-show|Disney+:https://www.disneyplus.com/en-gb/browse/entity-59d13d43-a434-4c4b-9815-59fd1242445b|YouTube:https://www.youtube.com/playlist?list=PLgZZ9Y_Cr271Ko4dk7vAH37fAZLOwbIKy
30873,Nowhere
4018,Nowhere
6357,Nowhere
80616,YouTube:https://www.youtube.com/playlist?list=PL70BE847613D4B3B6
324182,HBO MAX:https://www.hbomax.com/gb/en/shows/euphoria-special-episodes/0afbc4f2-c245-4b69-a61e-e42fe56e9cf3
